Size,Instance,Epsilon,Algorithm,Objective,TimeDev,IntentDev,Runtime
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.3265419006347656
50,2,1e-06,SA,2269.264921632426,21,21,2.5573790073394775
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,3.3360912799835205
50,2,1e-06,SA,2245.9393976783404,21,21,2.6059651374816895
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.3640074729919434
50,2,1e-06,SA,2237.6611681996214,20,20,2.396205186843872
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.243905782699585
50,3,1e-06,Greedy,2383.0184328345804,20,20,0.00415349006652832
50,3,1e-06,SA,2406.7558284707643,21,21,3.271819829940796
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.546870708465576
50,3,1e-06,SA,2401.6143320357355,22,22,2.480451822280884
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.326915740966797
50,3,1e-06,SA,2383.0184328345804,20,20,2.593639373779297
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,3.269237518310547
50,3,1e-06,SA,2383.0184328345804,20,20,2.6338558197021484
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.292870283126831
50,3,1e-06,SA,2415.1517782859846,21,21,2.4723610877990723
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.4528722763061523
50,3,1e-06,SA,2407.173238397243,21,21,3.238542079925537
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.4471652507781982
50,3,1e-06,SA,2405.4752900008966,21,21,2.487018585205078
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.41300630569458
50,3,1e-06,SA,2383.0184328345804,20,20,2.468921422958374
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,3.043365240097046
50,3,1e-06,SA,2383.0184328345804,20,20,2.6854097843170166
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.345149040222168
50,3,1e-06,SA,2383.0184328345804,20,20,2.9491302967071533
50,3,1e-06,Adaptive SA,2383.0184328345804,20,20,2.330381155014038
50,4,1e-06,Greedy,2374.1457568144147,20,20,0.003961086273193359
50,4,1e-06,SA,2403.398520404404,21,21,3.469835042953491
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,2.3802297115325928
50,4,1e-06,SA,2411.267002859038,21,21,2.524669885635376
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,2.3009467124938965
50,4,1e-06,SA,2420.6539196591284,21,21,2.4356119632720947
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,3.1383464336395264
50,4,1e-06,SA,2414.8357186885705,21,21,2.6913650035858154
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,2.3865039348602295
50,4,1e-06,SA,2419.717528754141,21,21,2.4100875854492188
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,2.2896568775177
50,4,1e-06,SA,2402.503651613347,21,21,3.433196544647217
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,3.056389808654785
50,4,1e-06,SA,2376.780284136602,22,22,2.5349032878875732
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,2.508188009262085
50,4,1e-06,SA,2440.8767841707127,22,22,2.468496084213257
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,3.61777663230896
50,4,1e-06,SA,2406.131052891943,21,21,2.454859733581543
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,2.3308751583099365
50,4,1e-06,SA,2449.2631522485926,22,22,2.622624158859253
50,4,1e-06,Adaptive SA,2374.1457568144147,20,20,2.5498719215393066
50,5,1e-06,Greedy,2222.254134480311,20,20,0.006166219711303711
50,5,1e-06,SA,2275.6997462492773,22,22,3.3644165992736816
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,2.250298261642456
50,5,1e-06,SA,2249.781262113998,21,21,2.586461067199707
